koi_period,koi_duration,koi_depth,koi_impact,koi_prad,koi_teq,koi_insol,koi_model_snr
102.9641952,15.735,1896.7,0.922,39.0,797.0,95.4,86.1
5.433132902,2.4012,328.2,0.72,1.61,841.0,118.56,33.1
19.563092517,6.9547,12992.2,0.842,23.76,965.0,205.39,2477.0
39.818832,10.757,199.1,0.6,2.23,650.0,42.32,29.4
0.846291334,1.79962,190191.0,0.779,30.8,1243.0,562.86,1049.3
3.70429015,3.37,55.7,0.001,1.45,1839.0,2708.57,15.9
4.254417651,6.55436,294547.0,1.165,133.79,1360.0,806.64,2074.5
37.5142128,5.303,935.0,0.366,2.68,478.0,12.38,28.9
0.566795467,4.712,38.2,0.504,0.67,2254.0,6076.99,25.8
6.24145791,3.0998,163.7,0.029,1.6,1111.0,360.09,30.8
2.49904083,2.651,128.2,0.01,1.04,1258.0,592.18,8.1
9.72869627,5.628,252.2,1.274,42.47,1126.0,379.75,19.1
1.922861499,3.5734,1916.2,0.943,5.09,1392.0,884.12,103.4
1.44438449,2.704,75.4,0.466,1.08,1980.0,3622.28,10.8
10.6840477,3.515,81901.0,1.012,26.43,444.0,9.21,395.3
35.6757453,7.381,471.2,0.61,3.02,671.0,47.96,18.5
5.57654782,3.673,53.6,0.45,0.92,1183.0,462.81,13.2
1.450889836,1.753,135.7,0.333,1.21,1700.0,1970.75,15.7
4.70818628,3.278,56545.0,1.082,42.99,1046.0,282.41,24.7
3.388887193,2.4475,11267.8,0.387,10.72,1212.0,511.3,162.9
8.487871809,4.19829,118814.0,0.941,46.24,798.0,96.0,483.9
11.55103848,3.3601,402.8,0.493,2.17,845.0,120.76,49.8
534.86668,8.19,565.0,0.113,4.3,328.0,2.74,8.3
1.485898163,2.446,224.6,1.173,14.96,1272.0,620.65,32.8
7.82502168,2.186,520.8,0.708,1.2,494.0,14.05,15.9
1.75147897,7.89,76.7,0.008,1.8,2340.0,7086.5,68.2
1.032068851,2.1344,121993.0,1.014,44.35,1221.0,523.01,140.0
11.35501209,14.557,19675.0,0.473,8.0,534.0,19.29,221.4
1.22174063,7.443,32.2,0.004,0.46,1461.0,1081.5,19.4
3.29276797,4.8069,80.7,0.663,1.39,1458.0,1068.95,40.8
1.025465924,3.71841,152685.0,0.88,106.84,2710.0,12744.17,1120.8
0.75509861,2.6423,60334.0,1.091,60.74,2359.0,7285.15,385.4
0.515552803,1.7869,1224.1,1.128,13.96,1807.0,2508.21,79.6
51.0771048,11.233,141.5,0.498,3.66,702.0,57.28,24.1
7.1329472,4.368,145.0,0.612,1.64,1102.0,349.21,27.2
2.508553286,2.2664,211.6,0.009,1.28,1278.0,629.8,26.8
59.7711433,4.843,574.5,0.899,3.17,522.0,17.53,38.5
20.31047472,5.3357,164.6,0.05,2.41,931.0,177.81,46.1
2.053866175,4.8045,5021.3,1.265,158.25,2528.0,9631.57,380.5
0.634003002,0.9207,316.9,0.367,1.35,1714.0,2030.16,21.0
5.26640614,3.6163,59294.0,0.869,38.05,1163.0,431.87,339.9
20.7191626,3.912,184.4,0.016,1.85,790.0,92.2,8.9
18.78429232,3.1136,1009.5,0.658,2.14,433.0,8.3,23.8
368.72715,5.06,426.6,0.3411,1.55,215.0,0.51,6.4
7.234965722,7.0245,164848.0,0.548,34.03,843.0,119.12,671.3
345.128277,15.925,324.4,0.175,1.94,282.0,1.5,11.4
0.762724045,1.98818,9782.2,1.252,41.02,1860.0,2827.5,451.7
7.035518449,3.5286,2139.0,1.268,24.91,782.0,88.6,91.5
1.8913182,4.374,202.3,0.439,0.9,983.0,221.36,17.6
185.02288222,4.87326,43546.7,1.004,49.82,379.0,4.89,938.2
56.4349933,4.7381,580.0,0.019,2.37,465.0,11.04,47.7
5.09112124,2.159,115.1,0.224,3.58,2044.0,4131.88,11.4
2.61576515,2.777,120.4,0.25,1.06,1379.0,851.6,15.1
18.68405716,6.9329,381.5,0.858,3.64,832.0,113.34,54.2
4.71510843,2.506,417.5,0.258,1.46,823.0,108.84,21.3
49.4781446,2.493,496.6,0.048,1.88,462.0,10.73,20.4
3.401949837,16.5797,2477.0,0.958,14.32,2076.0,4391.35,304.0
1.595630597,1.793,259.6,1.21,17.94,1346.0,778.05,18.3
385.39743,21.69,132.3,0.587,1.59,285.0,1.57,10.9
5.350156114,2.2647,764.8,0.008,2.6,989.0,226.02,87.1
10.0102876,5.33,127.1,0.5667,0.69,522.0,17.56,7.0
37.809539,7.547,487.4,0.03,1.79,483.0,12.89,9.7
6.70258007,4.632,859.0,1.237,403.01,2635.0,11398.6,23.0
7.258450123,5.7297,3714.7,0.05,5.53,880.0,141.3,288.6
1.480283464,2.486,60.5,0.058,0.97,1822.0,2597.27,21.3
22.470494368,7.39097,45979.0,0.86,19.12,518.0,17.04,2393.2
4.27103727,2.2759,180.4,0.02,1.22,1108.0,356.54,24.6
64.6589166,7.71,235.4,0.083,2.12,535.0,19.39,13.9
12.25384348,2.373,147.7,0.441,1.0,678.0,50.05,12.3
11.52482874,1.724,577.6,1.205,22.56,756.0,77.15,16.2
0.97430309,2.1088,34976.0,1.169,37.62,1643.0,1728.18,224.0
8.460438928,4.73492,76412.9,1.061,36.62,804.0,98.6,1797.4
15.68434493,44.463,791.6,1.206,56.23,1136.0,393.14,256.3
36.97709537,5.2063,217145.0,0.75,59.66,546.0,21.08,204.9
22.06402,4.1,388.7,0.941,2.67,712.0,60.81,31.5
1.366946478,3.37701,158643.0,0.869,43.45,1403.0,910.99,796.5
1.729367077,1.7442,484.4,0.278,1.82,1284.0,643.54,44.7
4.807103254,0.9393,450.5,0.94,2.96,1088.0,330.84,32.9
19.229478,4.68,115.8,0.699,1.97,970.0,209.42,8.1
0.635069939,2.07171,33117.3,1.25,57.77,2351.0,7193.72,578.6
6.83440674,2.2726,177.1,0.871,1.01,636.0,38.68,29.1
7.28116667,2.716,333.8,0.1,1.4,744.0,72.16,11.5
1.534679933,1.7237,456.6,0.108,18.39,3570.0,38505.56,64.6
8.91901228,4.141,180.6,0.619,1.84,1023.0,258.92,29.6
