,kepoi_name,koi_disposition,koi_period,koi_duration,koi_depth,koi_impact,koi_prad,koi_teq,koi_insol,koi_model_snr
6882,K06846.01,FALSE POSITIVE,2.24572117,3.88,48.2,0.596,0.74,1479.0,1131.64,13.6
6883,K06847.01,FALSE POSITIVE,0.566801906,1.626,89.7,0.155,0.55,1344.0,774.11,27.0
6884,K06848.01,FALSE POSITIVE,2.316171991,4.03025,251484.0,0.7,49.53,1288.0,651.03,2338.3
6886,K06851.01,FALSE POSITIVE,0.566810701,6.19,200.0,0.982,1.49,1921.0,3220.92,45.9
6887,K06852.01,FALSE POSITIVE,0.566813319,3.752,129.1,1.196,23.19,2313.0,6742.52,17.0
6888,K06976.01,FALSE POSITIVE,28.787257509,13.953,49618.4,0.559,91.26,971.0,210.02,1292.0
6889,K06977.01,FALSE POSITIVE,0.835315046,2.45449,16876.4,1.224,30.54,1490.0,1160.98,939.5
6890,K06979.01,FALSE POSITIVE,26.0164225,4.1768,41109.0,1.147,61.04,755.0,76.63,285.4
6891,K06981.01,FALSE POSITIVE,593.19521,25.65,227.3,0.6192,1.63,234.0,0.71,7.1
6892,K06982.01,FALSE POSITIVE,0.706430188,1.301,50.8,0.288,0.41,1473.0,1116.9,11.0
6893,K07112.01,FALSE POSITIVE,0.78430061,2.952,254.7,0.659,1.14,1566.0,1416.91,20.5
6894,K07113.01,FALSE POSITIVE,2.665875491,7.59461,161389.0,0.878,67.43,1502.0,1199.89,2274.7
6895,K07114.01,FALSE POSITIVE,2.6658312,5.771,40.8,0.864,0.99,1663.0,1807.48,12.4
6896,K07115.01,FALSE POSITIVE,1.5765874,15.18,29.2,1.04,15.68,2946.0,17781.51,27.9
6897,K07118.01,FALSE POSITIVE,28.027891356,17.3269,243231.0,0.6493,31.3,440.0,8.86,2829.0
6898,K07242.01,FALSE POSITIVE,2.028512246,5.00309,121562.0,0.871,50.28,1542.0,1333.24,1545.8
6899,K07243.01,FALSE POSITIVE,1.33256167,3.743,59.5,0.402,0.63,1326.0,727.84,13.0
6900,K07244.01,FALSE POSITIVE,1.332567821,3.4844,31.0,0.413,0.96,2395.0,7802.17,5.0
6901,K07245.01,FALSE POSITIVE,1.332545609,3.997,278.2,0.582,28.37,5080.0,157611.61,31.4
6902,K07246.01,FALSE POSITIVE,1.33256256,3.088,174.9,0.137,16.03,4529.0,99175.88,11.9
6903,K07247.01,FALSE POSITIVE,1.33258981,3.987,78.4,0.223,0.67,1369.0,832.33,16.1
6904,K07248.01,FALSE POSITIVE,1.33258375,4.081,60.9,0.746,0.84,1727.0,2096.92,16.4
6905,K07249.01,FALSE POSITIVE,8.9648813,61.23,454.5,1.208,28.97,1040.0,276.3,109.9
6906,K07377.01,FALSE POSITIVE,2.161583501,4.0537,50163.0,0.715,29.61,1646.0,1741.01,239.2
6907,K07378.01,CONFIRMED,8.7396758,3.866,1431.0,0.957,3.29,577.0,26.17,15.6
